Title,Company,Experience,Location,Description,Skills
Data Scientist,Rentable Co,3-8 Yrs,Remote,"Bachelors or Masters degree in Computer Science, Statistics, Mathematics, or related fi...","Computer science, Cloud computing, Product engineering, Neural networks, Machine learning, ROC, data visualization, Open source"
Python Data Scientist,Turing Global India,0-5 Yrs,Remote,You will be integral to a concerted effort with research personnel and other key player...,"Computer science, Data analysis, data science, Manager Technology, Research, SQL, Python, Python Data"
Data Scientist - Python,Turing Global India,0-5 Yrs,Remote,"Bachelor s / Master s degree in Engineering, Computer Science, or equivalent practical ...","Computer science, Analytical skills, Data analysis, data science, Networking, Manager Technology, SQL, Python"
Python Data Scientist,Turing Global India,0-5 Yrs,Remote,"Needed Skills: . Bachelors or Masters degree in Engineering or Computer Science, or equ...","Computer science, Usage, data science, Networking, Coding, Manager Technology, Research, SQL"
Python Data Scientist/Analyst,Turing Global India,3-5 Yrs,Remote,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, Debugging, Programming, Data Analyst, Data analytics, data visualization, SQL, Python"
Python Data Scientist,Turing Global India,0-5 Yrs,Remote,Skills Required: . Have a bachelors or masters in Engineering / Computer Science or sim...,"Computer science, Data analysis, data science, Manager Technology, Research, Continuous improvement, big data, SQL"
Data Scientist,Beinex,5-8 Yrs,Remote,"Experience using web services: Redshift, S3, Spark, DigitalOcean, etcExperience creatin...","Analytical, Machine learning, Research, Statistics, Machine, Data, Analytics"
Data Analyst / Data Scientist,Nybl,1-4 Yrs,Remote,"Experience and knowledge in applying advance Machine Learning techniques (e.g., Neural ...","Data analysis, Business objects, Google Analytics, Image processing, Web development, Machine learning, Data collection, Data mining"
Data Scientist,Turing Global India,0-5 Yrs,Remote,Skills Required: . Have a bachelors or masters in Engineering / Computer Science or sim...,"Computer science, Data analysis, data science, Manager Technology, Research, Continuous improvement, big data, SQL"
Data Analyst/Data Scientist,Turing Global India,0-5 Yrs,Remote,"Required Skills: . Write readable, reusable, and maintainable code. Previous experience...","Computer science, deep learning, data science, Coding, Artificial Intelligence, Machine learning, Data processing, Data Analyst"
Python LLM Data Scientist/Analyst,Turing Global India,2-5 Yrs,Remote,Excellent communication abilities to work with stakeholders and researchers successfull...,"Analytical skills, Data analysis, data science, Artificial Intelligence, Programming, Data analytics, SQL, Python"
Data Scientist/Data Analyst,Turing Global India,3-5 Yrs,Remote,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, Debugging, Production, Data Analyst, Python, Analysis, Data"
Data Scientist,Turing Global India,0-5 Yrs,Remote,"Bachelor s or Master s degree in Engineering, Computer Science, or similar. Data scient...","Computer science, Data analysis, Usage, data science, Networking, Coding, Analytical, Manager Technology"
Customer-Facing Data Scientist,Datarobot,4-5 Yrs,Remote,. Research shows that many women only apply to jobs when they meet 100% of the qualific...,"Automation, Product engineering, data science, Machine learning, Presales, Account management, Sales process, Analytics"
Data Scientist/Data Analyst,Turing Global India,3-5 Yrs,Remote,"Bachelor s / Master s degree in Engineering, Computer Science (or equivalent experience...","Data analysis, data science, Time management, Debugging, Production, Data Analyst, Data analytics, SQL"
Data Scientist,Xebia Academy Global,8-10 Yrs,Remote,Experience working with tight deadlines . Have suitable qualifications and industry cer...,"Mining, Text mining, Logistic regression, Machine learning, Data mining, Open source, Continuous improvement, Forecasting"
Data Scientist,Yallo Retail,10-15 Yrs,Remote,"A Bachelors or Masters degree in Computer Science, Statistics, Mathematics, or a relate...","Order management, Computer science, Cloud computing, Data analysis, Analytical, Machine learning, Warehouse management, Forecasting"
Presales GenAI Data Scientist,Rarr Technologies,16-22 Yrs,Remote,Experience in presales advisory client defense presentations and consultancy on DataSci...,"Managed services, GCP, Analytical, Machine learning, Presales, Business strategy, Data mining, RFP"
Data Scientist,The It Mind Services,8-13 Yrs,Remote,Strong communication skills with ability to collaborate with different functions such a...,"PDF, Statistical analysis, SAS, Clinical trials, Programming, Packaging, data visualization, Statistics"
Senior Data Scientist / Machine Learning Engineer,Arivonix Corporation,5-10 Yrs,Remote,"Advanced development experience in Python and libraries like NumPy, Sci-Kit Learn, and ...","Performance tuning, System architecture, Backend, Coding, GCP, Debugging, Machine learning, Data structures"
